customer_id,country,segment,acquisition_channel,first_order_value,first_order_items,newsletter,support_tickets,website_visits_first_month,orders_in_period,six_month_spend
X-0001,Poland,business,referral,166.03,4,0,1,4,9,533.4
X-0002,France,business,ads,45.44,2,1,0,5,3,262.06
X-0003,France,consumer,referral,318.2,1,0,1,7,8,667.06
X-0004,Poland,consumer,organic,92.96,2,1,1,4,5,360.01
X-0005,France,consumer,organic,32.94,4,1,1,7,3,258.45
X-0006,Poland,consumer,ads,109.24,3,1,0,5,5,457.36
X-0007,France,consumer,ads,92.64,1,1,0,7,5,394.96
X-0008,France,consumer,social,85.58,1,1,0,8,5,360.32
X-0009,France,consumer,referral,117.37,3,1,0,5,5,470.43
X-0010,France,business,ads,51.83,3,0,0,5,5,414.67
X-0011,Czechia,consumer,organic,61.93,3,0,1,8,4,373.94
X-0012,France,consumer,organic,89.41,2,0,1,9,7,531.4
X-0013,Poland,consumer,ads,101.6,3,0,3,4,3,201.41
X-0014,France,consumer,referral,110.62,3,1,0,8,6,458.12
X-0015,Czechia,consumer,social,72.81,3,0,1,9,6,456.24
X-0016,Czechia,business,organic,98.42,4,1,0,4,7,571.55
X-0017,France,consumer,referral,73.87,4,0,1,3,3,193.36
X-0018,Poland,consumer,referral,93.57,4,0,0,4,5,397.15
X-0019,France,consumer,ads,64.36,3,0,1,9,1,86.23
X-0020,Czechia,consumer,organic,58.09,3,0,0,8,5,341.1
X-0021,France,consumer,organic,120.63,2,1,1,4,4,342.36
X-0022,Czechia,business,ads,97.88,4,0,1,4,7,510.15
X-0023,France,consumer,referral,377.25,2,1,0,3,10,764.15
X-0024,France,consumer,ads,150.25,1,1,0,2,6,480.02
X-0025,Poland,consumer,referral,131.51,4,1,0,9,7,472.45
X-0026,Poland,consumer,ads,9.37,2,0,1,5,2,159.13
X-0027,Poland,business,organic,61.88,2,1,1,6,5,373.36
X-0028,Czechia,consumer,organic,106.28,3,0,0,7,5,417.94
X-0029,Czechia,consumer,referral,126.17,3,0,0,6,5,362.95
X-0030,Poland,consumer,ads,36.16,1,0,0,6,3,195.28
X-0031,Czechia,business,social,144.62,2,1,0,3,6,459.63
X-0032,Poland,business,ads,87.49,4,1,0,6,6,465.84
