order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price
O-12309,2024-07-01,C-0593,P-007,Smart Headphones 007,Electronics,1,76.35
O-12462,2024-07-01,C-0633,P-003,Travel Power Bank 003,Electronics,2,136.78
O-13057,2024-07-01,C-0786,P-060,Max Chair Cushion 060,Office,2,59.24
O-13264,2024-07-01,C-0836,P-034,Family Tent 034,Sports & Outdoor,3,26.78
O-10810,2024-07-01,C-0209,P-039,Premium Hair Dryer 039,Beauty,2,53.95
O-11637,2024-07-01,C-0428,P-025,Smart Yoga Mat 025,Sports & Outdoor,3,81.51
O-11049,2024-07-01,C-0270,P-021,Basic Pan Set 021,Home & Kitchen,1,8.99
O-13610,2024-07-02,C-0936,P-044,Premium Puzzle 044,Toys,3,25.42
O-13974,2024-07-02,C-1028,P-054,Mini Monitor Stand 054,Office,3,61.74
O-13735,2024-07-02,C-0964,P-040,Family Skincare Set 040,Beauty,1,29.67
O-10467,2024-07-02,C-0131,P-002,Basic Speaker 002,Electronics,3,93.38
O-10974,2024-07-02,C-0253,P-060,Max Chair Cushion 060,Office,1,61.78
O-11726,2024-07-02,C-0451,P-056,Pro Notebook Set 056,Office,3,106.47
O-14194,2024-07-02,C-1085,P-055,Max Chair Cushion 055,Office,1,158.78
O-11139,2024-07-02,C-0296,P-038,Classic Mirror 038,Beauty,3,59.87
O-12234,2024-07-03,C-0575,P-029,Deluxe Tent 029,Sports & Outdoor,2,79.25
O-12572,2024-07-03,C-0662,P-022,Mini Coffee Maker 022,Home & Kitchen,3,117.7
O-11446,2024-07-03,C-0383,P-037,Deluxe Trimmer 037,Beauty,1,107.39
O-11014,2024-07-03,C-0261,P-013,Deluxe Blender 013,Home & Kitchen,3,147.61
O-14124,2024-07-03,C-1070,P-056,Pro Notebook Set 056,Office,3,107.32
O-11745,2024-07-03,C-0454,P-013,Deluxe Blender 013,Home & Kitchen,2,143.77
O-10149,2024-07-04,C-0040,P-054,Mini Monitor Stand 054,Office,1,62.65
O-13363,2024-07-04,C-0871,P-021,Basic Pan Set 021,Home & Kitchen,1,9.22
O-13946,2024-07-04,C-1019,P-003,Travel Power Bank 003,Electronics,3,140.16
O-10285,2024-07-04,C-0083,P-025,Smart Yoga Mat 025,Sports & Outdoor,3,78.96
O-11752,2024-07-04,C-0455,P-005,Travel Mouse 005,Electronics,2,159.26
O-14368,2024-07-04,C-1127,P-055,Max Chair Cushion 055,Office,3,155.81
O-10554,2024-07-04,C-0150,P-011,Basic Mouse 011,Electronics,1,62.92
O-12871,2024-07-04,C-0741,P-055,Max Chair Cushion 055,Office,3,153.59
O-12698,2024-07-05,C-0693,P-002,Basic Speaker 002,Electronics,1,97.04
O-10278,2024-07-05,C-0081,P-048,Compact Puzzle 048,Toys,2,76.17
O-14318,2024-07-05,C-1115,P-007,Smart Headphones 007,Electronics,3,77.34
O-10402,2024-07-05,C-0113,P-053,Basic Pen Set 053,Office,1,154.64
O-14544,2024-07-05,C-1179,P-040,Family Skincare Set 040,Beauty,1,29.57
O-13524,2024-07-05,C-0913,P-032,Max Water Bottle 032,Sports & Outdoor,1,103.89
O-12103,2024-07-05,C-0547,P-018,Smart Organizer 018,Home & Kitchen,2,60.04
O-14467,2024-07-05,C-1157,P-025,Smart Yoga Mat 025,Sports & Outdoor,1,83.26
O-12628,2024-07-05,C-0678,P-039,Premium Hair Dryer 039,Beauty,3,53.79
O-12594,2024-07-05,C-0668,P-048,Compact Puzzle 048,Toys,2,77.73
